Title,Year,Age,Netflix,Hulu,Disney,Key,Writer,Genre,IMDB_Rating,IMDB_Votes,Rotten_Tomatoes,Country,Awards
Pose,2018,16+,1,0,0,Pose2018,"Steven Canals, Brad Falchuk, Ryan Murphy",Drama,8.6,17308,96,USA,Nominated for 3 Golden Globes. Another 20 wins & 65 nominations.
Hollywood,2020,18+,1,0,0,Hollywood2020,"Ian Brennan, Ryan Murphy",Drama,7.6,26918,57,USA,Won 2 Primetime Emmys. Another 1 win & 34 nominations.
Derry Girls,2018,16+,1,0,0,Derry Girls2018,Lisa McGee,Comedy,8.4,17819,97,UK,3 wins & 6 nominations.
Dark Matter,2015,18+,1,0,0,Dark Matter2015,"Joseph Mallozzi, Paul Mullie","Adventure, Drama, Mystery, Sci-Fi, Thriller",7.5,38376,89,Canada,10 nominations.
On My Block,2018,16+,1,0,0,On My Block2018,"Eddie Gonzalez, Jeremy Haft, Lauren Iungerich",Comedy,8.0,10019,97,USA,1 win & 8 nominations.
Longmire,2012,16+,1,0,0,Longmire2012,"Hunt Baldwin, John Coveny","Action, Crime, Drama, Western",8.3,28359,88,USA,4 wins & 5 nominations.
The Tudors,2007,18+,1,0,0,The Tudors2007,Michael Hirst,"Drama, History, Romance, War",8.1,67429,69,"Ireland, Canada, USA, UK",Nominated for 3 Golden Globes. Another 49 wins & 79 nominations.
The Stranger,2020,16+,1,0,0,The Stranger2020,0,"Crime, Drama, Mystery, Thriller",7.3,31120,89,UK,0
Call the Midwife,2012,7+,1,0,0,Call the Midwife2012,Heidi Thomas,"Drama, History",8.4,19512,89,UK,15 wins & 14 nominations.
Into the Night,2020,18+,1,0,0,Into the Night2020,Jason George,"Drama, Sci-Fi, Thriller",7.1,18660,83,Belgium,0
Mystery Science Theater 3000,1988,7+,1,1,0,Mystery Science Theater 30001988,Joel Hodgson,"Comedy, Sci-Fi",8.5,22765,80,USA,Nominated for 2 Primetime Emmys. Another 4 wins & 13 nominations.
Mystery Science Theater 3000,1988,7+,1,1,0,Mystery Science Theater 30001988,Joel Hodgson,"Comedy, Sci-Fi",8.5,22765,80,USA,Nominated for 2 Primetime Emmys. Another 4 wins & 13 nominations.
The Inbetweeners,2008,18+,1,0,0,The Inbetweeners2008,0,Comedy,8.4,78541,54,UK,13 wins & 14 nominations.
Reign,2013,16+,1,0,0,Reign2013,"Laurie McCarthy, Stephanie Sengupta","Drama, Fantasy",7.5,42635,86,USA,4 wins & 21 nominations.
The Kominsky Method,2018,18+,1,0,0,The Kominsky Method2018,Chuck Lorre,"Comedy, Drama",8.2,22647,90,USA,Won 2 Golden Globes. Another 1 win & 26 nominations.
The 4400,2004,7+,1,0,0,The 44002004,"René Echevarria, Scott Peters","Drama, Mystery, Sci-Fi, Thriller",7.3,42025,95,"USA, UK",Nominated for 3 Primetime Emmys. Another 1 win & 10 nominations.
The Borgias,2011,18+,1,0,0,The Borgias2011,Neil Jordan,"Crime, Drama, History, Romance",7.9,47555,85,"USA, Hungary, Ireland, Canada",Nominated for 1 Golden Globe. Another 16 wins & 53 nominations.
Marco Polo,2014,18+,1,0,0,Marco Polo2014,John Fusco,"Adventure, Drama, History",8.0,62869,67,USA,Nominated for 1 Primetime Emmy. Another 3 wins & 5 nominations.
Queer Eye,2018,16+,1,0,0,Queer Eye2018,0,Reality-TV,8.5,14847,91,USA,Won 7 Primetime Emmys. Another 5 wins & 25 nominations.
The Spy,2019,18+,1,0,0,The Spy2019,0,"Drama, History",7.9,28552,86,France,Nominated for 1 Golden Globe. Another 1 nomination.
Love,2016,18+,1,0,0,Love2016,"Judd Apatow, Lesley Arfin, Paul Rust","Comedy, Drama, Romance",7.7,36071,94,USA,1 win & 1 nomination.
Designated Survivor,2016,7+,1,0,0,Designated Survivor2016,David Guggenheim,"Action, Drama, Mystery, Thriller",7.5,73634,71,USA,3 wins & 3 nominations.
Ripper Street,2012,18+,1,0,0,Ripper Street2012,Richard Warlow,"Crime, Drama, Mystery",8.1,18907,100,"UK, Ireland",10 wins & 27 nominations.
Feel Good,2020,,1,0,0,Feel Good2020,0,"Comedy, Drama, Romance",7.5,3563,100,UK,0
Hell on Wheels,2011,16+,1,0,0,Hell on Wheels2011,"Joe Gayton, Tony Gayton","Drama, Western",8.3,46782,72,"Canada, UK",Nominated for 1 Primetime Emmy. Another 20 wins & 34 nominations.
